Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
SGIOF,"Shionogi & Co., Ltd.",12.14B,12.28,0.57%,Drug Manufacturers - Specialty & Generic,433,11.25,https://stockanalysis.com/quote/otc/SGIOF/
SGIOY,"Shionogi & Co., Ltd.",12.14B,7.06,1.88%,Drug Manufacturers - Specialty & Generic,"284,100",11.25,https://stockanalysis.com/quote/otc/SGIOY/
IPSEY,Ipsen S.A.,9.99B,31.03,0.89%,Drug Manufacturers - Specialty & Generic,"3,700",13.68,https://stockanalysis.com/quote/otc/IPSEY/
IPSEF,Ipsen S.A.,9.99B,125.37,-,Drug Manufacturers - Specialty & Generic,163,13.68,https://stockanalysis.com/quote/otc/IPSEF/
SWOBY,Swedish Orphan Biovitrum AB (publ),9.57B,14.60,13.18%,Drug Manufacturers - Specialty & Generic,123,27.63,https://stockanalysis.com/quote/otc/SWOBY/
BIOVF,Swedish Orphan Biovitrum AB (publ),9.57B,28.30,-,Drug Manufacturers - Specialty & Generic,278,27.63,https://stockanalysis.com/quote/otc/BIOVF/
WXXWY,WuXi Biologics (Cayman) Inc.,9.07B,4.29,2.39%,Biotechnology,"72,000",25.04,https://stockanalysis.com/quote/otc/WXXWY/
WXIBF,WuXi Biologics (Cayman) Inc.,8.91B,2.19,-,Biotechnology,"13,500",24.60,https://stockanalysis.com/quote/otc/WXIBF/
SFOSF,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",7.69B,1.70,-5.61%,Drug Manufacturers - Specialty & Generic,200,25.50,https://stockanalysis.com/quote/otc/SFOSF/
ESAIY,"Eisai Co., Ltd.",7.61B,6.68,-1.76%,Drug Manufacturers - Specialty & Generic,"261,800",26.60,https://stockanalysis.com/quote/otc/ESAIY/
ESALF,"Eisai Co., Ltd.",7.61B,26.86,-,Drug Manufacturers - Specialty & Generic,-,26.60,https://stockanalysis.com/quote/otc/ESALF/
ZLDPF,Zealand Pharma A/S,7.12B,97.82,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ZLDPF/
IVBXF,"Innovent Biologics, Inc.",7.12B,4.53,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/IVBXF/
IVBIY,"Innovent Biologics, Inc.",7.06B,19.15,-,Biotechnology,100,-,https://stockanalysis.com/quote/otc/IVBIY/
