Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
LLY,Eli Lilly and Company,682.17B,757.60,1.45%,Drug Manufacturers - General,"3,061,860",81.91,https://stockanalysis.com/stocks/lly/
NVO,Novo Nordisk A/S,368.86B,83.07,0.18%,Drug Manufacturers - General,"5,730,982",26.04,https://stockanalysis.com/stocks/nvo/
JNJ,Johnson & Johnson,355.77B,147.77,1.93%,Drug Manufacturers - General,"7,327,330",24.32,https://stockanalysis.com/stocks/jnj/
ABBV,AbbVie Inc.,306.95B,173.70,1.37%,Drug Manufacturers - General,"4,325,682",60.52,https://stockanalysis.com/stocks/abbv/
MRK,"Merck & Co., Inc.",254.73B,100.70,0.61%,Drug Manufacturers - General,"6,002,636",21.07,https://stockanalysis.com/stocks/mrk/
AZN,AstraZeneca PLC,205.71B,66.91,1.87%,Drug Manufacturers - General,"3,723,778",31.67,https://stockanalysis.com/stocks/azn/
NVS,Novartis AG,198.75B,97.86,-1.22%,Drug Manufacturers - General,"3,111,679",11.29,https://stockanalysis.com/stocks/nvs/
PFE,Pfizer Inc.,150.12B,26.49,1.03%,Drug Manufacturers - General,"29,932,702",35.40,https://stockanalysis.com/stocks/pfe/
AMGN,Amgen Inc.,144.83B,269.43,0.18%,Drug Manufacturers - General,"2,681,142",34.40,https://stockanalysis.com/stocks/amgn/
SNY,Sanofi,125.73B,50.74,2.78%,Drug Manufacturers - General,"4,695,913",25.02,https://stockanalysis.com/stocks/sny/
BMY,Bristol-Myers Squibb Company,114.35B,56.38,0.84%,Drug Manufacturers - General,"8,943,783",-,https://stockanalysis.com/stocks/bmy/
GILD,"Gilead Sciences, Inc.",114.22B,91.65,-0.79%,Drug Manufacturers - General,"8,948,283",906.51,https://stockanalysis.com/stocks/gild/
GSK,GSK plc,67.32B,33.44,1.95%,Drug Manufacturers - General,"4,160,849",20.00,https://stockanalysis.com/stocks/gsk/
BIIB,Biogen Inc.,20.58B,141.23,0.16%,Drug Manufacturers - General,"1,198,691",12.77,https://stockanalysis.com/stocks/biib/
GRFS,"Grifols, S.A.",5.72B,7.24,-3.08%,Drug Manufacturers - General,"903,373",31.77,https://stockanalysis.com/stocks/grfs/
OGN,Organon & Co.,4.17B,16.18,2.86%,Drug Manufacturers - General,"2,118,011",3.21,https://stockanalysis.com/stocks/ogn/
AMRN,Amarin Corporation plc,227.88M,0.55,-1.86%,Drug Manufacturers - General,"373,528",-,https://stockanalysis.com/stocks/amrn/
SCLX,Scilex Holding Company,61.80M,0.47,5.25%,Drug Manufacturers - General,"3,042,224",-,https://stockanalysis.com/stocks/sclx/
MIRA,"MIRA Pharmaceuticals, Inc.",19.87M,1.20,0.84%,Drug Manufacturers - General,"136,055",-,https://stockanalysis.com/stocks/mira/
